Domain,Category,Subcategory,Country,Notes
*.baai.ac.cn,Frontier / Consumer,BAAI,China,Beijing Academy of AI - open model releases
*.modelscope.cn,Frontier / Consumer,ModelScope,China,Alibaba's Hugging Face equivalent
*.tiangong.cn,Frontier / Consumer,Tiangong,China,Kunlun Tech Tiangong LLM
*.stepfun.com,Frontier / Consumer,StepFun,China,Step-1 models
*.360.cn,Frontier / Consumer,Qihoo 360,China,Qihoo 360 AI products
*.yandex.com,Frontier / Consumer,Yandex,Russia,YandexGPT
*.ya.ru,Frontier / Consumer,Yandex,Russia,YandexGPT alternate domain
gigachat.sber.ru,Frontier / Consumer,Sberbank,Russia,GigaChat by Sberbank
*.sber.ru,Frontier / Consumer,Sberbank,Russia,Sberbank AI platform
*.ai.vk.com,Frontier / Consumer,VK,Russia,VK (formerly Mail.ru) AI
*.falconllm.tii.ae,Frontier / Consumer,TII,UAE,Falcon LLM - UAE Technology Innovation Institute - review for defense context
*.ai71.ai,Frontier / Consumer,AI71,UAE,AI71 UAE sovereign AI - review for defense context
*.replit.com,Dev Tooling / IDE,Replit,USA,Replit AI - widely used
*.sourcegraph.com,Dev Tooling / IDE,Sourcegraph,USA,Cody AI coding assistant
*.codium.ai,Dev Tooling / IDE,CodiumAI,Israel,CodiumAI - different from Codeium
*.pieces.app,Dev Tooling / IDE,Pieces,USA,Pieces for Developers AI
*.refact.ai,Dev Tooling / IDE,Refact,USA,Refact.ai coding assistant
*.softgen.ai,Dev Tooling / IDE,Softgen,USA,Softgen AI
*.pythagora.ai,Dev Tooling / IDE,Pythagora,USA,GPT Pilot by Pythagora
*.anyscale.com,Cloud Provider AI,Anyscale,USA,Anyscale Endpoints - Ray/LLM serving
*.octoai.cloud,Cloud Provider AI,OctoAI,USA,OctoAI inference
*.deepinfra.com,Cloud Provider AI,Deep Infra,USA,Deep Infra inference
*.novita.ai,Cloud Provider AI,Novita,USA,Novita AI inference
*.fal.ai,Cloud Provider AI,fal.ai,USA,fal.ai image/LLM inference
*.cerebras.ai,Cloud Provider AI,Cerebras,USA,Cerebras inference
*.sambanova.ai,Cloud Provider AI,SambaNova,USA,SambaNova inference
*.hyperbolic.xyz,Cloud Provider AI,Hyperbolic,USA,Hyperbolic inference
*.kagi.com,Search / AI Search,Kagi,USA,Kagi AI search
*.exa.ai,Search / AI Search,Exa,USA,Exa AI search
*.bing.com,Search / AI Search,Microsoft,USA,Copilot/Bing AI - review before blocking will break Bing search
*.kunlun.com,Frontier / Consumer,Kunlun Tech,China,Kunlun Tech parent company
*.sensechat.com,Frontier / Consumer,SenseTime,China,SenseChat by SenseTime
*.spark-app.xfyun.cn,Frontier / Consumer,iFlytek,China,iFlytek Spark - on US entity list
*.hunyuan.tencent.com,Frontier / Consumer,Tencent,China,Hunyuan by Tencent
*.wanzhi.com,Frontier / Consumer,Tencent,China,Wanzhi by Tencent
*.xinghuo.xfyun.cn,Frontier / Consumer,iFlytek,China,iFlytek Xinghuo - on US entity list
*.tongyi.aliyun.com,Frontier / Consumer,Alibaba,China,Tongyi Qianwen - different from qwen.com
*.lighton.ai,Frontier / Consumer,LightOn,France,LightOn LLM
*.kyutai.org,Frontier / Consumer,Kyutai,France,Kyutai open source LLM
*.silo.ai,Frontier / Consumer,Silo AI,Finland,Silo AI - acquired by AMD
*.core42.ai,Frontier / Consumer,Core42,UAE,Core42 UAE AI - review for defense context
